name	class_name	signature	hover
get_id_path	AStar3D	get_id_path(from_id: int, to_id: int, allow_partial_path: bool = false) -> PackedInt64Array	Returns an array with the IDs of the points that form the path found by AStar3D between the given points. The array is ordered from the starting point to the ending point of the path. If [param from_id] point is disabled, returns an empty array (even if [code]from_id == to_id[/code]). If [param from_id] point is not disabled, there is no valid path to the target, and [param allow_partial_path] is [code]true[/code], returns a path to the point closest to the target that can be reached. [b]Note:[/b] When [param allow_partial_path] is [code]true[/code] and [param to_id] is disabled the search may take an unusually long time to finish. [codeblocks] [gdscript] var astar = AStar3D.new() astar.add_point(1, Vector3(0, 0, 0)) astar.add_point(2, Vector3(0, 1, 0), 1) # Default weight is 1 astar.add_point(3, Vector3(1, 1, 0)) astar.add_point(4, Vector3(2, 0, 0)) astar.connect_points(1, 2, false) astar.connect_points(2, 3, false) astar.connect_points(4, 3, false) astar.connect_points(1, 4, false) var res = astar.get_id_path(1, 3) # Returns [1, 2, 3] [/gdscript] [csharp] var astar = new AStar3D(); astar.AddPoint(1, new Vector3(0, 0, 0)); astar.AddPoint(2, new Vector3(0, 1, 0), 1); // Default weight is 1 astar.AddPoint(3, new Vector3(1, 1, 0)); astar.AddPoint(4, new Vector3(2, 0, 0)); astar.ConnectPoints(1, 2, false); astar.ConnectPoints(2, 3, false); astar.ConnectPoints(4, 3, false); astar.ConnectPoints(1, 4, false); long[] res = astar.GetIdPath(1, 3); // Returns [1, 2, 3] [/csharp] [/codeblocks] If you change the 2nd point's weight to 3, then the result will be [code][1, 4, 3][/code] instead, because now even though the distance is longer, it's "easier" to get through point 4 than through point 2.
get_id_path	AStarGrid2D	get_id_path(from_id: Vector2i, to_id: Vector2i, allow_partial_path: bool = false) -> typedarray::Vector2i	Returns an array with the IDs of the points that form the path found by AStar2D between the given points. The array is ordered from the starting point to the ending point of the path. If [param from_id] point is disabled, returns an empty array (even if [code]from_id == to_id[/code]). If [param from_id] point is not disabled, there is no valid path to the target, and [param allow_partial_path] is [code]true[/code], returns a path to the point closest to the target that can be reached. [b]Note:[/b] When [param allow_partial_path] is [code]true[/code] and [param to_id] is solid the search may take an unusually long time to finish.
get_id_path	ResourceUID	get_id_path(id: int) -> String	Returns the path that the given UID value refers to. Fails with an error if the UID does not exist, so be sure to check [method has_id] beforehand.
get_ids	RDUniform	get_ids() -> typedarray::RID	Returns an array of all ids currently bound to the uniform.
get_igd_control_url	UPNPDevice	get_igd_control_url() -> String	Universal Plug and Play (UPnP) device.
get_igd_our_addr	UPNPDevice	get_igd_our_addr() -> String	Universal Plug and Play (UPnP) device.
get_igd_service_type	UPNPDevice	get_igd_service_type() -> String	Universal Plug and Play (UPnP) device.
get_igd_status	UPNPDevice	get_igd_status() -> enum::UPNPDevice.IGDStatus	Universal Plug and Play (UPnP) device.
get_ignore_texture_size	TextureButton	get_ignore_texture_size() -> bool	Texture-based button. Supports Pressed, Hover, Disabled and Focused states.
get_image	Noise	get_image(width: int, height: int, invert: bool = false, in_3d_space: bool = false, normalize: bool = true) -> Image	Returns an [Image] containing 2D noise values. [b]Note:[/b] With [param normalize] set to [code]false[/code], the default implementation expects the noise generator to return values in the range [code]-1.0[/code] to [code]1.0[/code].
get_image	Texture2D	get_image() -> Image	Returns an [Image] that is a copy of data from this [Texture2D] (a new [Image] is created each time). [Image]s can be accessed and manipulated directly. [b]Note:[/b] This will return [code]null[/code] if this [Texture2D] is invalid. [b]Note:[/b] This will fetch the texture data from the GPU, which might cause performance problems when overused. Avoid calling [method get_image] every frame, especially on large textures.
get_image_3d	Noise	get_image_3d(width: int, height: int, depth: int, invert: bool = false, normalize: bool = true) -> typedarray::Image	Returns an [Array] of [Image]s containing 3D noise values for use with [method ImageTexture3D.create]. [b]Note:[/b] With [param normalize] set to [code]false[/code], the default implementation expects the noise generator to return values in the range [code]-1.0[/code] to [code]1.0[/code].
get_image_format	GLTFDocument	get_image_format() -> String	Class for importing and exporting glTF files in and out of Godot.
get_image_size	MeshTexture	get_image_size() -> Vector2	Simple texture that uses a mesh to draw itself.
get_images	GLTFState	get_images() -> typedarray::Texture2D	Gets the images of the glTF file as an array of [Texture2D]s. These are the images that the [member GLTFTexture.src_image] index refers to.
get_import_as_skeleton_bones	GLTFState	get_import_as_skeleton_bones() -> bool	Represents all data of a glTF file.
get_importer_mesh	GLTFPhysicsShape	get_importer_mesh() -> ImporterMesh	Represents a glTF physics shape.
get_inbound_buffer_size	WebSocketMultiplayerPeer	get_inbound_buffer_size() -> int	Base class for WebSocket server and client.
get_inbound_buffer_size	WebSocketPeer	get_inbound_buffer_size() -> int	A WebSocket connection.
get_include_filter	EditorExportPreset	get_include_filter() -> String	Returns file filters to include during export.
get_include_hidden	DirAccess	get_include_hidden() -> bool	Provides methods for managing directories and their content.
get_include_navigational	DirAccess	get_include_navigational() -> bool	Provides methods for managing directories and their content.
get_included_regions	NavigationPathQueryParameters2D	get_included_regions() -> typedarray::RID	Provides parameters for 2D navigation path queries.
get_included_regions	NavigationPathQueryParameters3D	get_included_regions() -> typedarray::RID	Provides parameters for 3D navigation path queries.
get_incoming_connections	Object	get_incoming_connections() -> typedarray::Dictionary	Returns an [Array] of signal connections received by this object. Each connection is represented as a [Dictionary] that contains three entries: - [code]signal[/code] is a reference to the [Signal]; - [code]callable[/code] is a reference to the [Callable]; - [code]flags[/code] is a combination of [enum ConnectFlags].
get_indent_level	TextEdit	get_indent_level(line: int) -> int	Returns the indent level of the given line. This is the number of spaces and tabs at the beginning of the line, with the tabs taking the tab size into account (see [method get_tab_size]).
get_indent_size	CodeEdit	get_indent_size() -> int	A multiline text editor designed for editing code.
get_index	InputEventScreenDrag	get_index() -> int	Represents a screen drag event.
get_index	InputEventScreenTouch	get_index() -> int	Represents a screen touch event.
get_index	Node	get_index(include_internal: bool = false) -> int	Returns this node's order among its siblings. The first node's index is [code]0[/code]. See also [method get_child]. If [param include_internal] is [code]false[/code], returns the index ignoring internal children. The first, non-internal child will have an index of [code]0[/code] (see [method add_child]'s [code]internal[/code] parameter).
get_index	TreeItem	get_index() -> int	Returns the node's order in the tree. For example, if called on the first child item the position is [code]0[/code].
get_index_in_skeleton	Bone2D	get_index_in_skeleton() -> int	Returns the node's index as part of the entire skeleton. See [Skeleton2D].
get_indexed	Object	get_indexed(property_path: NodePath) -> Variant	Gets the object's property indexed by the given [param property_path]. The path should be a [NodePath] relative to the current object and can use the colon character ([code]:[/code]) to access nested properties. [b]Examples:[/b] [code]"position:x"[/code] or [code]"material:next_pass:blend_mode"[/code]. [codeblocks] [gdscript] var node = Node2D.new() node.position = Vector2(5, -10) var a = node.get_indexed("position") # a is Vector2(5, -10) var b = node.get_indexed("position:y") # b is -10 [/gdscript] [csharp] var node = new Node2D(); node.Position = new Vector2(5, -10); var a = node.GetIndexed("position"); // a is Vector2(5, -10) var b = node.GetIndexed("position:y"); // b is -10 [/csharp] [/codeblocks] [b]Note:[/b] In C#, [param property_path] must be in snake_case when referring to built-in Godot properties. Prefer using the names exposed in the [code]PropertyName[/code] class to avoid allocating a new [StringName] on each call. [b]Note:[/b] This method does not support actual paths to nodes in the [SceneTree], only sub-property paths. In the context of nodes, use [method Node.get_node_and_resource] instead.
get_indices	GLTFBufferView	get_indices() -> bool	Represents a glTF buffer view.
get_indices	NavigationMeshSourceGeometryData3D	get_indices() -> PackedInt32Array	Returns the parsed source geometry data indices array.
get_indices	Occluder3D	get_indices() -> PackedInt32Array	Returns the occluder shape's vertex indices.
get_indices	OpenXRSpatialComponentMesh2DList	get_indices(snapshot: RID, index: int) -> PackedInt32Array	Returns the mesh indices for the entity at this [param index].
get_inertia	RigidBody2D	get_inertia() -> float	A 2D physics body that is moved by a physics simulation.
get_inertia	RigidBody3D	get_inertia() -> Vector3	A 3D physics body that is moved by a physics simulation.
get_inertia_diagonal	GLTFPhysicsBody	get_inertia_diagonal() -> Vector3	Represents a glTF physics body.
get_inertia_orientation	GLTFPhysicsBody	get_inertia_orientation() -> Quaternion	Represents a glTF physics body.
get_inertia_tensor	GLTFPhysicsBody	get_inertia_tensor() -> Basis	Represents a glTF physics body.
get_inferred_direction	TextLine	get_inferred_direction() -> enum::TextServer.Direction	Returns the text writing direction inferred by the BiDi algorithm.
get_inferred_direction	TextParagraph	get_inferred_direction() -> enum::TextServer.Direction	Returns the text writing direction inferred by the BiDi algorithm.
get_influence	SkeletonModifier3D	get_influence() -> float	A node that may modify a Skeleton3D's bones.
get_inherit_velocity_ratio	ParticleProcessMaterial	get_inherit_velocity_ratio() -> float	Holds a particle configuration for [GPUParticles2D] or [GPUParticles3D] nodes.
get_inheriters_from_class	ClassDB	get_inheriters_from_class(class: StringName) -> PackedStringArray	Returns the names of all engine classes that directly or indirectly inherit from [param class].
get_initial_clip	AudioStreamInteractive	get_initial_clip() -> int	Audio stream that can playback music interactively, combining clips and a transition table.
get_initial_offset	GrooveJoint2D	get_initial_offset() -> float	A physics joint that restricts the movement of two 2D physics bodies to a fixed axis.
get_initial_position	Window	get_initial_position() -> enum::Window.WindowInitialPosition	Base class for all windows, dialogs, and popups.
get_inner_cone_angle	GLTFLight	get_inner_cone_angle() -> float	Represents a glTF light.
get_inner_radius	CSGTorus3D	get_inner_radius() -> float	A CSG Torus shape.
get_inner_radius	TorusMesh	get_inner_radius() -> float	Class representing a torus [PrimitiveMesh].
get_input	XRController3D	get_input(name: StringName) -> Variant	Returns a [Variant] for the input with the given [param name]. This works for any input type, the variant will be typed according to the actions configuration. [b]Note:[/b] The current [XRInterface] defines the [param name] for each input. In the case of OpenXR, these are the names of actions in the current action set.
get_input	XRPositionalTracker	get_input(name: StringName) -> Variant	Returns an input for this tracker. It can return a boolean, float or [Vector2] value depending on whether the input is a button, trigger or thumbstick/thumbpad.
get_input_attachments	RDFramebufferPass	get_input_attachments() -> PackedInt32Array	Framebuffer pass attachment description (used by [RenderingDevice]).
get_input_buffer_length_frames	AudioServer	get_input_buffer_length_frames() -> int	Returns the absolute size of the microphone input buffer. This is set to a multiple of the audio latency and can be used to estimate the minimum rate at which the frames need to be fetched.
get_input_buffer_max_size	PacketPeerStream	get_input_buffer_max_size() -> int	Wrapper to use a PacketPeer over a StreamPeer.
get_input_count	AnimationNode	get_input_count() -> int	Amount of inputs in this animation node, only useful for animation nodes that go into [AnimationNodeBlendTree].
get_input_device	AudioServer	get_input_device() -> String	Server interface for low-level audio access.
get_input_device_list	AudioServer	get_input_device_list() -> PackedStringArray	Returns the names of all audio input devices detected on the system. [b]Note:[/b] [member ProjectSettings.audio/driver/enable_input] must be [code]true[/code] for audio input to work. See also that setting's description for caveats related to permissions and operating system privacy settings.
get_input_frames	AudioServer	get_input_frames(frames: int) -> PackedVector2Array	Returns a [PackedVector2Array] containing exactly [param frames] audio samples from the internal microphone buffer if available, otherwise returns an empty [PackedVector2Array]. The buffer is filled at the rate of [method get_input_mix_rate] frames per second when [method set_input_device_active] has successfully been set to [code]true[/code]. The samples are signed floating-point PCM values between [code]-1[/code] and [code]1[/code].
get_input_frames_available	AudioServer	get_input_frames_available() -> int	Returns the number of frames available to read using [method get_input_frames].
get_input_mix_rate	AudioServer	get_input_mix_rate() -> float	Returns the sample rate at the input of the [AudioServer].
get_input_name	AnimationNode	get_input_name(input: int) -> String	Gets the name of an input by index.
get_input_name	VisualShaderNodeInput	get_input_name() -> String	Represents the input shader parameter within the visual shader graph.
get_input_path	OpenXRDpadBindingModifier	get_input_path() -> String	The DPad binding modifier converts an axis input to a dpad output.
get_input_port_color	GraphNode	get_input_port_color(port_idx: int) -> Color	Returns the [Color] of the input port with the given [param port_idx].
get_input_port_count	GraphNode	get_input_port_count() -> int	Returns the number of slots with an enabled input port.
get_input_port_count	VisualShaderNodeGroupBase	get_input_port_count() -> int	Returns the number of input ports in use. Alternative for [method get_free_input_port_id].
get_input_port_default_value	VisualShaderNode	get_input_port_default_value(port: int) -> Variant	Returns the default value of the input [param port].
get_input_port_position	GraphNode	get_input_port_position(port_idx: int) -> Vector2	Returns the position of the input port with the given [param port_idx].
get_input_port_slot	GraphNode	get_input_port_slot(port_idx: int) -> int	Returns the corresponding slot index of the input port with the given [param port_idx].
get_input_port_type	GraphNode	get_input_port_type(port_idx: int) -> int	Returns the type of the input port with the given [param port_idx].
get_input_real_name	VisualShaderNodeInput	get_input_real_name() -> String	Returns a translated name of the current constant in the Godot Shader Language. E.g. [code]"ALBEDO"[/code] if the [member input_name] equal to [code]"albedo"[/code].
get_input_source_target_ray_mode	WebXRInterface	get_input_source_target_ray_mode(input_source_id: int) -> enum::WebXRInterface.TargetRayMode	Returns the target ray mode for the given [param input_source_id]. This can help interpret the input coming from that input source. See [url=https://developer.mozilla.org/en-US/docs/Web/API/XRInputSource/targetRayMode]XRInputSource.targetRayMode[/url] for more information.
get_input_source_tracker	WebXRInterface	get_input_source_tracker(input_source_id: int) -> XRControllerTracker	Gets an [XRControllerTracker] for the given [param input_source_id]. In the context of WebXR, an input source can be an advanced VR controller like the Oculus Touch or Index controllers, or even a tap on the screen, a spoken voice command or a button press on the device itself. When a non-traditional input source is used, interpret the position and orientation of the [XRPositionalTracker] as a ray pointing at the object the user wishes to interact with. Use this method to get information about the input source that triggered one of these signals: - [signal selectstart] - [signal select] - [signal selectend] - [signal squeezestart] - [signal squeeze] - [signal squeezestart]
get_inputs	VisualShaderNodeGroupBase	get_inputs() -> String	Returns a [String] description of the input ports as a colon-separated list using the format [code]id,type,name;[/code] (see [method add_input_port]).
get_inspector	EditorInterface	get_inspector() -> EditorInspector	Returns the editor's [EditorInspector] instance. [b]Warning:[/b] Removing and freeing this node will render a part of the editor useless and may cause a crash.
get_instance	OpenXRAPIExtension	get_instance() -> int	Returns the [url=https://registry.khronos.org/OpenXR/specs/1.0/man/html/XrInstance.html]XrInstance[/url] created during the initialization of the OpenXR API.
get_instance	VisualInstance3D	get_instance() -> RID	Returns the RID of this instance. This RID is the same as the RID returned by [method RenderingServer.instance_create]. This RID is needed if you want to call [RenderingServer] functions directly on this [VisualInstance3D].
get_instance_base_type	Script	get_instance_base_type() -> StringName	Returns the script's base type.
get_instance_color	MultiMesh	get_instance_color(instance: int) -> Color	Gets a specific instance's color multiplier.
get_instance_count	MultiMesh	get_instance_count() -> int	Provides high-performance drawing of a mesh multiple times using GPU instancing.
get_instance_custom_data	MultiMesh	get_instance_custom_data(instance: int) -> Color	Returns the custom data that has been set for a specific instance.
get_instance_id	Object	get_instance_id() -> int	Returns the object's unique instance ID. This ID can be saved in [EncodedObjectAsID], and can be used to retrieve this object instance with [method @GlobalScope.instance_from_id]. [b]Note:[/b] This ID is only useful during the current session. It won't correspond to a similar object if the ID is sent over a network, or loaded from a file at a later time.
get_instance_index	VisualShaderNodeParameter	get_instance_index() -> int	A base type for the parameters within the visual shader graph.
get_instance_materials	GLTFMesh	get_instance_materials() -> typedarray::Material	GLTFMesh represents a glTF mesh.
get_instance_path	InstancePlaceholder	get_instance_path() -> String	Gets the path to the [PackedScene] resource file that is loaded by default when calling [method create_instance]. Not thread-safe. Use [method Object.call_deferred] if calling from a thread.
get_instance_proc_addr	OpenXRAPIExtension	get_instance_proc_addr(name: String) -> int	Returns the function pointer of the OpenXR function with the specified name, cast to an integer. If the function with the given name does not exist, the method returns [code]0[/code]. [b]Note:[/b] [code]openxr/util.h[/code] contains utility macros for acquiring OpenXR functions, e.g. [code]GDEXTENSION_INIT_XR_FUNC_V(xrCreateAction)[/code].
get_instance_shader_parameter	CanvasItem	get_instance_shader_parameter(name: StringName) -> Variant	Get the value of a shader parameter as set on this instance.
get_instance_shader_parameter	GeometryInstance3D	get_instance_shader_parameter(name: StringName) -> Variant	Get the value of a shader parameter as set on this instance.
get_instance_transform	MultiMesh	get_instance_transform(instance: int) -> Transform3D	Returns the [Transform3D] of a specific instance.
get_instance_transform_2d	MultiMesh	get_instance_transform_2d(instance: int) -> Transform2D	Returns the [Transform2D] of a specific instance.
get_instrument	InputEventMIDI	get_instrument() -> int	Represents a MIDI message from a MIDI device, such as a musical keyboard.
get_intensity	GLTFLight	get_intensity() -> float	Represents a glTF light.
get_intensity	ReflectionProbe	get_intensity() -> float	Captures its surroundings to create fast, accurate reflections from a given point.
get_interaction_profile	OpenXRActionMap	get_interaction_profile(idx: int) -> OpenXRInteractionProfile	Get the interaction profile at this index.
get_interaction_profile_count	OpenXRActionMap	get_interaction_profile_count() -> int	Retrieve the number of interaction profiles in our action map.
get_interaction_profile_path	OpenXRInteractionProfile	get_interaction_profile_path() -> String	Suggested bindings object for OpenXR.
get_interaction_profiles	OpenXRActionMap	get_interaction_profiles() -> Array	Collection of [OpenXRActionSet] and [OpenXRInteractionProfile] resources for the OpenXR module.
get_interface	JavaScriptBridge	get_interface(interface: String) -> JavaScriptObject	Returns an interface to a JavaScript object that can be used by scripts. The [param interface] must be a valid property of the JavaScript [code]window[/code]. The callback must accept a single [Array] argument, which will contain the JavaScript [code]arguments[/code]. See [JavaScriptObject] for usage.
get_interface	TextServerManager	get_interface(idx: int) -> TextServer	Returns the interface registered at a given index.
get_interface	XRServer	get_interface(idx: int) -> XRInterface	Returns the interface registered at the given [param idx] index in the list of interfaces.
get_interface_count	TextServerManager	get_interface_count() -> int	Returns the number of interfaces currently registered.
get_interface_count	XRServer	get_interface_count() -> int	Returns the number of interfaces currently registered with the AR/VR server. If your project supports multiple AR/VR platforms, you can look through the available interface, and either present the user with a selection or simply try to initialize each interface and use the first one that returns [code]true[/code].
get_interfaces	TextServerManager	get_interfaces() -> typedarray::Dictionary	Returns a list of available interfaces, with the index and name of each interface.
get_interfaces	XRServer	get_interfaces() -> typedarray::Dictionary	Returns a list of available interfaces the ID and name of each interface.
get_internal_export_files	EditorExportPlatform	get_internal_export_files(preset: EditorExportPreset, debug: bool) -> Dictionary	Returns additional files that should always be exported regardless of preset configuration, and are not part of the project source. The returned [Dictionary] contains filename keys ([String]) and their corresponding raw data ([PackedByteArray]).
get_internal_size	RenderSceneBuffersConfiguration	get_internal_size() -> Vector2i	Configuration object used to setup a [RenderSceneBuffers] object.
get_internal_size	RenderSceneBuffersRD	get_internal_size() -> Vector2i	Returns the internal size of the render buffer (size before upscaling) with which textures are created by default.
get_internal_vertex_count	Polygon2D	get_internal_vertex_count() -> int	A 2D polygon.
get_interp_to_end	GPUParticles2D	get_interp_to_end() -> float	A 2D particle emitter.
get_interp_to_end	GPUParticles3D	get_interp_to_end() -> float	A 3D particle emitter.
get_interpolate	GPUParticles2D	get_interpolate() -> bool	A 2D particle emitter.
get_interpolate	GPUParticles3D	get_interpolate() -> bool	A 3D particle emitter.
get_interpolation	SkeletonIK3D	get_interpolation() -> float	A node used to rotate all bones of a [Skeleton3D] bone chain a way that places the end bone at a desired 3D position.
get_interpolation_color_space	Gradient	get_interpolation_color_space() -> enum::Gradient.ColorSpace	A color transition.
get_interpolation_mode	Gradient	get_interpolation_mode() -> enum::Gradient.InterpolationMode	A color transition.
get_interpolation_remaining	LookAtModifier3D	get_interpolation_remaining() -> float	Returns the remaining seconds of the time-based interpolation.
get_intersections	PolygonPathFinder	get_intersections(from: Vector2, to: Vector2) -> PackedVector2Array	
get_inverse_binds	GLTFSkin	get_inverse_binds() -> typedarray::Transform3D	
get_inverse_inertia	PhysicsDirectBodyState2D	get_inverse_inertia() -> float	Provides direct access to a physics body in the [PhysicsServer2D].
get_inverse_inertia	PhysicsDirectBodyState3D	get_inverse_inertia() -> Vector3	Provides direct access to a physics body in the [PhysicsServer3D].
get_inverse_inertia_tensor	PhysicsDirectBodyState3D	get_inverse_inertia_tensor() -> Basis	Provides direct access to a physics body in the [PhysicsServer3D].
get_inverse_inertia_tensor	RigidBody3D	get_inverse_inertia_tensor() -> Basis	Returns the inverse inertia tensor basis. This is used to calculate the angular acceleration resulting from a torque applied to the [RigidBody3D].
get_inverse_mass	PhysicsDirectBodyState2D	get_inverse_mass() -> float	Provides direct access to a physics body in the [PhysicsServer2D].
get_inverse_mass	PhysicsDirectBodyState3D	get_inverse_mass() -> float	Provides direct access to a physics body in the [PhysicsServer3D].
get_invert	NoiseTexture2D	get_invert() -> bool	A 2D texture filled with noise generated by a [Noise] object.
get_invert	NoiseTexture3D	get_invert() -> bool	A 3D texture filled with noise generated by a [Noise] object.
get_invert_border	Polygon2D	get_invert_border() -> float	A 2D polygon.
get_invert_enabled	Polygon2D	get_invert_enabled() -> bool	A 2D polygon.
get_invert_flags	CopyTransformModifier3D	get_invert_flags(index: int) -> bitfield::CopyTransformModifier3D.AxisFlag	Returns the invert flags of the setting at [param index].
get_iod	MobileVRInterface	get_iod() -> float	Generic mobile VR implementation.
get_is_active	XRNode3D	get_is_active() -> bool	Returns [code]true[/code] if the [member tracker] has been registered and the [member pose] is being tracked.
get_is_discardable	RDTextureFormat	get_is_discardable() -> bool	Texture format (used by [RenderingDevice]).
get_is_hemisphere	SphereMesh	get_is_hemisphere() -> bool	Class representing a spherical [PrimitiveMesh].
get_is_resolve_buffer	RDTextureFormat	get_is_resolve_buffer() -> bool	Texture format (used by [RenderingDevice]).
get_is_setup	SkeletonModification2D	get_is_setup() -> bool	Returns whether this modification has been successfully setup or not.
get_is_setup	SkeletonModificationStack2D	get_is_setup() -> bool	Returns a boolean that indicates whether the modification stack is setup and can execute.
get_is_sticky	OpenXRDpadBindingModifier	get_is_sticky() -> bool	The DPad binding modifier converts an axis input to a dpad output.
get_is_trigger	GLTFPhysicsShape	get_is_trigger() -> bool	Represents a glTF physics shape.
get_item_accelerator	NativeMenu	get_item_accelerator(rid: RID, idx: int) -> enum::Key	Returns the accelerator of the item at index [param idx]. Accelerators are special combinations of keys that activate the item, no matter which control is focused. [b]Note:[/b] This method is implemented only on macOS.
get_item_accelerator	PopupMenu	get_item_accelerator(index: int) -> enum::Key	Returns the accelerator of the item at the given [param index]. An accelerator is a keyboard shortcut that can be pressed to trigger the menu button even if it's not currently open. The return value is an integer which is generally a combination of [enum KeyModifierMask]s and [enum Key]s using bitwise OR such as [code]KEY_MASK_CTRL | KEY_A[/code] ([kbd]Ctrl + A[/kbd]). If no accelerator is defined for the specified [param index], [method get_item_accelerator] returns [code]0[/code] (corresponding to [constant @GlobalScope.KEY_NONE]).
get_item_area_rect	Tree	get_item_area_rect(item: TreeItem, column: int = -1, button_index: int = -1) -> Rect2	Returns the rectangle area for the specified [TreeItem]. If [param column] is specified, only get the position and size of that column, otherwise get the rectangle containing all columns. If a button index is specified, the rectangle of that button will be returned.
get_item_at_position	ItemList	get_item_at_position(position: Vector2, exact: bool = false) -> int	Returns the item index at the given [param position]. When there is no item at that point, -1 will be returned if [param exact] is [code]true[/code], and the closest item index will be returned otherwise. [b]Note:[/b] The returned value is unreliable if called right after modifying the [ItemList], before it redraws in the next frame.
get_item_at_position	Tree	get_item_at_position(position: Vector2) -> TreeItem	Returns the tree item at the specified position (relative to the tree origin position).
get_item_auto_translate_mode	ItemList	get_item_auto_translate_mode(idx: int) -> enum::Node.AutoTranslateMode	Returns item's auto translate mode.
get_item_auto_translate_mode	OptionButton	get_item_auto_translate_mode(idx: int) -> enum::Node.AutoTranslateMode	Returns the auto translate mode of the item at index [param idx].
get_item_auto_translate_mode	PopupMenu	get_item_auto_translate_mode(index: int) -> enum::Node.AutoTranslateMode	Returns the auto translate mode of the item at the given [param index].
get_item_callback	NativeMenu	get_item_callback(rid: RID, idx: int) -> Callable	Returns the callback of the item at index [param idx]. [b]Note:[/b] This method is implemented on macOS and Windows.
get_item_count	ItemList	get_item_count() -> int	A vertical list of selectable items with one or multiple columns.
get_item_count	MenuButton	get_item_count() -> int	A button that brings up a [PopupMenu] when clicked.
get_item_count	NativeMenu	get_item_count(rid: RID) -> int	Returns number of items in the global menu [param rid]. [b]Note:[/b] This method is implemented on macOS and Windows.
get_item_count	OptionButton	get_item_count() -> int	A button that brings up a dropdown with selectable options when pressed.
get_item_count	PopupMenu	get_item_count() -> int	A modal window used to display a list of options.
get_item_cull_mask	Light2D	get_item_cull_mask() -> int	Casts light in a 2D environment.
get_item_custom_bg_color	ItemList	get_item_custom_bg_color(idx: int) -> Color	Returns the custom background color of the item specified by [param idx] index.
get_item_custom_fg_color	ItemList	get_item_custom_fg_color(idx: int) -> Color	Returns the custom foreground color of the item specified by [param idx] index.
get_item_icon	ItemList	get_item_icon(idx: int) -> Texture2D	Returns the icon associated with the specified index.
get_item_icon	NativeMenu	get_item_icon(rid: RID, idx: int) -> Texture2D	Returns the icon of the item at index [param idx]. [b]Note:[/b] This method is implemented on macOS and Windows.
get_item_icon	OptionButton	get_item_icon(idx: int) -> Texture2D	Returns the icon of the item at index [param idx].
get_item_icon	PopupMenu	get_item_icon(index: int) -> Texture2D	Returns the icon of the item at the given [param index].
get_item_icon_max_width	PopupMenu	get_item_icon_max_width(index: int) -> int	Returns the maximum allowed width of the icon for the item at the given [param index].
get_item_icon_modulate	ItemList	get_item_icon_modulate(idx: int) -> Color	Returns a [Color] modulating item's icon at the specified index.
get_item_icon_modulate	PopupMenu	get_item_icon_modulate(index: int) -> Color	Returns a [Color] modulating the item's icon at the given [param index].
get_item_icon_region	ItemList	get_item_icon_region(idx: int) -> Rect2	Returns the region of item's icon used. The whole icon will be used if the region has no area.
get_item_id	OptionButton	get_item_id(idx: int) -> int	Returns the ID of the item at index [param idx].
get_item_id	PopupMenu	get_item_id(index: int) -> int	Returns the ID of the item at the given [param index]. [code]id[/code] can be manually assigned, while index can not.
get_item_indent	PopupMenu	get_item_indent(index: int) -> int	Returns the horizontal offset of the item at the given [param index].
get_item_indentation_level	NativeMenu	get_item_indentation_level(rid: RID, idx: int) -> int	Returns the horizontal offset of the item at the given [param idx]. [b]Note:[/b] This method is implemented only on macOS.
get_item_index	OptionButton	get_item_index(id: int) -> int	Returns the index of the item with the given [param id].
get_item_index	PopupMenu	get_item_index(id: int) -> int	Returns the index of the item containing the specified [param id]. Index is automatically assigned to each item by the engine and can not be set manually.
get_item_key_callback	NativeMenu	get_item_key_callback(rid: RID, idx: int) -> Callable	Returns the callback of the item accelerator at index [param idx]. [b]Note:[/b] This method is implemented only on macOS.
get_item_language	ItemList	get_item_language(idx: int) -> String	Returns item's text language code.
get_item_language	PopupMenu	get_item_language(index: int) -> String	Returns item's text language code.
get_item_list	MeshLibrary	get_item_list() -> PackedInt32Array	Returns the list of item IDs in use.
get_item_max_states	NativeMenu	get_item_max_states(rid: RID, idx: int) -> int	Returns number of states of a multistate item. See [method add_multistate_item] for details. [b]Note:[/b] This method is implemented on macOS and Windows.
get_item_mesh	MeshLibrary	get_item_mesh(id: int) -> Mesh	Returns the item's mesh.
get_item_mesh_cast_shadow	MeshLibrary	get_item_mesh_cast_shadow(id: int) -> enum::RenderingServer.ShadowCastingSetting	Returns the item's shadow casting mode.
get_item_mesh_transform	MeshLibrary	get_item_mesh_transform(id: int) -> Transform3D	Returns the transform applied to the item's mesh.
get_item_metadata	ItemList	get_item_metadata(idx: int) -> Variant	Returns the metadata value of the specified index.
get_item_metadata	OptionButton	get_item_metadata(idx: int) -> Variant	Retrieves the metadata of an item. Metadata may be any type and can be used to store extra information about an item, such as an external string ID.
get_item_metadata	PopupMenu	get_item_metadata(index: int) -> Variant	Returns the metadata of the specified item, which might be of any type. You can set it with [method set_item_metadata], which provides a simple way of assigning context data to items.
get_item_multistate	PopupMenu	get_item_multistate(index: int) -> int	Returns the state of the item at the given [param index].
get_item_multistate_max	PopupMenu	get_item_multistate_max(index: int) -> int	Returns the max states of the item at the given [param index].
get_item_name	MeshLibrary	get_item_name(id: int) -> String	Returns the item's name.
get_item_navigation_layers	MeshLibrary	get_item_navigation_layers(id: int) -> int	Returns the item's navigation layers bitmask.
get_item_navigation_mesh	MeshLibrary	get_item_navigation_mesh(id: int) -> NavigationMesh	Returns the item's navigation mesh.
