name	class_name	signature	hover
get_current_item_drawn	StyleBox	get_current_item_drawn() -> CanvasItem	Returns the [CanvasItem] that handles its [constant CanvasItem.NOTIFICATION_DRAW] or [method CanvasItem._draw] callback at this moment.
get_current_length	AnimationNodeStateMachinePlayback	get_current_length() -> float	Returns the current state length. [b]Note:[/b] It is possible that any [AnimationRootNode] can be nodes as well as animations. This means that there can be multiple animations within a single state. Which animation length has priority depends on the nodes connected inside it. Also, if a transition does not reset, the remaining length at that point will be returned.
get_current_line	XMLParser	get_current_line() -> int	Returns the current line in the parsed file, counting from 0.
get_current_navigation_path	NavigationAgent2D	get_current_navigation_path() -> PackedVector2Array	Returns this agent's current path from start to finish in global coordinates. The path only updates when the target position is changed or the agent requires a repath. The path array is not intended to be used in direct path movement as the agent has its own internal path logic that would get corrupted by changing the path array manually. Use the intended [method get_next_path_position] once every physics frame to receive the next path point for the agents movement as this function also updates the internal path logic.
get_current_navigation_path	NavigationAgent3D	get_current_navigation_path() -> PackedVector3Array	Returns this agent's current path from start to finish in global coordinates. The path only updates when the target position is changed or the agent requires a repath. The path array is not intended to be used in direct path movement as the agent has its own internal path logic that would get corrupted by changing the path array manually. Use the intended [method get_next_path_position] once every physics frame to receive the next path point for the agents movement as this function also updates the internal path logic.
get_current_navigation_path_index	NavigationAgent2D	get_current_navigation_path_index() -> int	Returns which index the agent is currently on in the navigation path's [PackedVector2Array].
get_current_navigation_path_index	NavigationAgent3D	get_current_navigation_path_index() -> int	Returns which index the agent is currently on in the navigation path's [PackedVector3Array].
get_current_navigation_result	NavigationAgent2D	get_current_navigation_result() -> NavigationPathQueryResult2D	Returns the path query result for the path the agent is currently following.
get_current_navigation_result	NavigationAgent3D	get_current_navigation_result() -> NavigationPathQueryResult3D	Returns the path query result for the path the agent is currently following.
get_current_node	AnimationNodeStateMachinePlayback	get_current_node() -> StringName	Returns the currently playing animation state. [b]Note:[/b] When using a cross-fade, the current state changes to the next state immediately after the cross-fade begins.
get_current_outbound_buffered_amount	WebSocketPeer	get_current_outbound_buffered_amount() -> int	Returns the current amount of data in the outbound websocket buffer. [b]Note:[/b] Web exports use WebSocket.bufferedAmount, while other platforms use an internal buffer.
get_current_path	EditorInterface	get_current_path() -> String	Returns the current path being viewed in the [FileSystemDock].
get_current_path	FileDialog	get_current_path() -> String	A dialog for selecting files or directories in the filesystem.
get_current_play_position	AnimationNodeStateMachinePlayback	get_current_play_position() -> float	Returns the playback position within the current animation state.
get_current_presets	EditorExportPlatform	get_current_presets() -> Array	Returns array of [EditorExportPreset]s for this platform.
get_current_rendering_driver_name	RenderingServer	get_current_rendering_driver_name() -> String	Returns the name of the current rendering driver. This can be [code]vulkan[/code], [code]d3d12[/code], [code]metal[/code], [code]opengl3[/code], [code]opengl3_es[/code], or [code]opengl3_angle[/code]. See also [method get_current_rendering_method]. When [member ProjectSettings.rendering/renderer/rendering_method] is [code]forward_plus[/code] or [code]mobile[/code], the rendering driver is determined by [member ProjectSettings.rendering/rendering_device/driver]. When [member ProjectSettings.rendering/renderer/rendering_method] is [code]gl_compatibility[/code], the rendering driver is determined by [member ProjectSettings.rendering/gl_compatibility/driver]. The rendering driver is also determined by the [code]--rendering-driver[/code] command line argument that overrides this project setting, or an automatic fallback that is applied depending on the hardware.
get_current_rendering_method	RenderingServer	get_current_rendering_method() -> String	Returns the name of the current rendering method. This can be [code]forward_plus[/code], [code]mobile[/code], or [code]gl_compatibility[/code]. See also [method get_current_rendering_driver_name]. The rendering method is determined by [member ProjectSettings.rendering/renderer/rendering_method], the [code]--rendering-method[/code] command line argument that overrides this project setting, or an automatic fallback that is applied depending on the hardware.
get_current_scene	SceneTree	get_current_scene() -> Node	Manages the game loop via a hierarchy of nodes.
get_current_screen	Window	get_current_screen() -> int	Base class for all windows, dialogs, and popups.
get_current_script	ScriptEditor	get_current_script() -> Script	Returns a [Script] that is currently active in editor.
get_current_tab	TabBar	get_current_tab() -> int	A control that provides a horizontal bar with tabs.
get_current_tab	TabContainer	get_current_tab() -> int	A container that creates a tab for each child control, displaying only the active tab's control.
get_current_tab_control	TabContainer	get_current_tab_control() -> Control	Returns the child [Control] node located at the active tab index.
get_cursor_shape	Control	get_cursor_shape(position: Vector2 = Vector2(0, 0)) -> enum::Control.CursorShape	Returns the mouse cursor shape for this control when hovered over [param position] in local coordinates. For most controls, this is the same as [member mouse_default_cursor_shape], but some built-in controls implement more complex logic.
get_curve	CurveTexture	get_curve() -> Curve	A 1D texture where pixel brightness corresponds to points on a curve.
get_curve	Line2D	get_curve() -> Curve	A 2D polyline that can optionally be textured.
get_curve	Path2D	get_curve() -> Curve2D	Contains a [Curve2D] path for [PathFollow2D] nodes to follow.
get_curve	Path3D	get_curve() -> Curve3D	Contains a [Curve3D] path for [PathFollow3D] nodes to follow.
get_curve	RibbonTrailMesh	get_curve() -> Curve	Represents a straight ribbon-shaped [PrimitiveMesh] with variable width.
get_curve	TubeTrailMesh	get_curve() -> Curve	Represents a straight tube-shaped [PrimitiveMesh] with variable width.
get_curve_step	TextMesh	get_curve_step() -> float	Generate a [PrimitiveMesh] from the text.
get_curve_x	CurveXYZTexture	get_curve_x() -> Curve	A 1D texture where the red, green, and blue color channels correspond to points on 3 curves.
get_curve_y	CurveXYZTexture	get_curve_y() -> Curve	A 1D texture where the red, green, and blue color channels correspond to points on 3 curves.
get_curve_z	CurveXYZTexture	get_curve_z() -> Curve	A 1D texture where the red, green, and blue color channels correspond to points on 3 curves.
get_custom_aabb	ArrayMesh	get_custom_aabb() -> AABB	[Mesh] type that provides utility for constructing a surface from arrays.
get_custom_aabb	GeometryInstance3D	get_custom_aabb() -> AABB	Base node for geometry-based visual instances.
get_custom_aabb	MultiMesh	get_custom_aabb() -> AABB	Provides high-performance drawing of a mesh multiple times using GPU instancing.
get_custom_aabb	PrimitiveMesh	get_custom_aabb() -> AABB	Base class for all primitive meshes. Handles applying a [Material] to a primitive mesh.
get_custom_arrow_step	SpinBox	get_custom_arrow_step() -> float	An input field for numbers.
get_custom_bg_color	TreeItem	get_custom_bg_color(column: int) -> Color	Returns the custom background color of column [param column].
get_custom_color	TreeItem	get_custom_color(column: int) -> Color	Returns the custom color of column [param column].
get_custom_data	TileData	get_custom_data(layer_name: String) -> Variant	Returns the custom data value for custom data layer named [param layer_name]. To check if a custom data layer exists, use [method has_custom_data].
get_custom_data_by_layer_id	TileData	get_custom_data_by_layer_id(layer_id: int) -> Variant	Returns the custom data value for custom data layer with index [param layer_id].
get_custom_data_layer_by_name	TileSet	get_custom_data_layer_by_name(layer_name: String) -> int	Returns the index of the custom data layer identified by the given name.
get_custom_data_layer_name	TileSet	get_custom_data_layer_name(layer_index: int) -> String	Returns the name of the custom data layer identified by the given index.
get_custom_data_layer_type	TileSet	get_custom_data_layer_type(layer_index: int) -> enum::Variant.Type	Returns the type of the custom data layer identified by the given index.
get_custom_data_layers_count	TileSet	get_custom_data_layers_count() -> int	Returns the custom data layers count.
get_custom_draw_callback	TreeItem	get_custom_draw_callback(column: int) -> Callable	Returns the custom callback of column [param column].
get_custom_features	EditorExportPreset	get_custom_features() -> String	Returns a comma-separated list of custom features added to this preset, as a string. See [url=$DOCS_URL/tutorials/export/feature_tags.html]Feature tags[/url] in the documentation for more information.
get_custom_font	TreeItem	get_custom_font(column: int) -> Font	Returns custom font used to draw text in the column [param column].
get_custom_font_size	TreeItem	get_custom_font_size(column: int) -> int	Returns custom font size used to draw text in the column [param column].
get_custom_format	SurfaceTool	get_custom_format(channel_index: int) -> enum::SurfaceTool.CustomFormat	Returns the format for custom [param channel_index] (currently up to 4). Returns [constant CUSTOM_MAX] if this custom channel is unused.
get_custom_minimum_height	TreeItem	get_custom_minimum_height() -> int	An internal control for a single item inside [Tree].
get_custom_minimum_size	Control	get_custom_minimum_size() -> Vector2	Base class for all GUI controls. Adapts its position and size based on its parent control.
get_custom_monitor	Performance	get_custom_monitor(id: StringName) -> Variant	Returns the value of custom monitor with given [param id]. The callable is called to get the value of custom monitor. See also [method has_custom_monitor]. Prints an error if the given [param id] is absent.
get_custom_monitor_names	Performance	get_custom_monitor_names() -> typedarray::StringName	Returns the names of active custom monitors in an [Array].
get_custom_monitor_types	Performance	get_custom_monitor_types() -> PackedInt32Array	Returns the [enum MonitorType] values of active custom monitors in an [Array].
get_custom_popup_rect	Tree	get_custom_popup_rect() -> Rect2	Returns the rectangle for custom popups. Helper to create custom cell controls that display a popup. See [method TreeItem.set_cell_mode].
get_custom_punctuation	TextParagraph	get_custom_punctuation() -> String	Holds a paragraph of text.
get_custom_solver_bias	Shape2D	get_custom_solver_bias() -> float	Abstract base class for 2D shapes used for physics collision.
get_custom_solver_bias	Shape3D	get_custom_solver_bias() -> float	Abstract base class for 3D shapes used for physics collision.
get_custom_step	ScrollBar	get_custom_step() -> float	Abstract base class for scrollbars.
get_custom_stylebox	TreeItem	get_custom_stylebox(column: int) -> StyleBox	Returns the given column's custom [StyleBox] used to draw the background.
get_custom_viewport	Camera2D	get_custom_viewport() -> Node	Camera node for 2D scenes.
get_custom_viewport	CanvasLayer	get_custom_viewport() -> Node	A node used for independent rendering of objects within a 2D scene.
get_custom_word_separators	TextEdit	get_custom_word_separators() -> String	A multiline text editor.
get_customized_files	EditorExportPreset	get_customized_files() -> Dictionary	Returns a dictionary of files selected in the "Resources" tab of the export dialog. The dictionary's keys are file paths, and its values are the corresponding export modes: [code]"strip"[/code], [code]"keep"[/code], or [code]"remove"[/code]. See also [method get_file_export_mode].
